tuyen_duong,quan_huyen,vi_tri_1,vi_tri_2,vi_tri_3,vi_tri_4,ghi_chu
An Dương Vương,Tây Hồ,96172,54818,42581,38051,Khu vực 1
An Trạch,Đống Đa,143404,77438,60314,53460,Khu vực 1
Âu Cơ,Tây Hồ,176920,92894,72042,63665,Khu vực 1
Âu Cơ (Trong đê),Tây Hồ,114231,62827,49043,43712,Khu vực 1
Ấu Triệu,Hoàn Kiếm,242521,121261,91385,79962,Khu vực 1
Bà Huyện Thanh Quan,Ba Đình,318675,158545,119483,104548,Khu vực 1
Hàng Khay,Hoàn Kiếm,702257,316016,229183,196442,Khu vực 1
Trần Hưng Đạo,Hoàn Kiếm,576854,265107,193345,166406,Khu vực 1
Nguyễn Du,Hai Bà Trưng,366476,175909,133117,115602,Khu vực 1
Thái Phiên,Hai Bà Trưng,296601,145334,108968,95282,Khu vực 1
Đường Độc Lập,Ba Đình,415377,197304,148894,129042,Khu vực 1
Ông Ích Khiêm,Ba Đình,307194,150525,112860,98573,Khu vực 1
Bảo Khánh,Hoàn Kiếm,379950,182376,136011,118115,Khu vực 1
Bát Đàn,Hoàn Kiếm,328588,159365,119173,103696,Khu vực 1
Bát Sứ,Hoàn Kiếm,328588,159365,119173,103696,Khu vực 1
Bích Câu,Đống Đa,162320,86029,66576,58835,Khu vực 1
Bùi Thị Xuân,Hai Bà Trưng,296601,145334,108968,95282,Khu vực 1
